tid,governo_alinhamento~Dilma_2/indefinido,governo_alinhamento~Dilma_2/nao se aplica,governo_alinhamento~Dilma_2/votou com o governo,governo_alinhamento~Dilma_2/votou contra o governo,orientacaoGoverno~Liberado,orientacaoGoverno~Não,orientacaoGoverno~Obstrução,orientacaoGoverno~Sim,partido~Avante,partido~Cidadania,partido~DC,partido~DEM,partido~MDB,partido~PCdoB,partido~PDT,partido~PHS,partido~PL,partido~PMB,partido~PMN,partido~PP,partido~PRB,partido~PROS,partido~PRP,partido~PRTB,partido~PSB,partido~PSC,partido~PSD,partido~PSDB,partido~PSL,partido~PSOL,partido~PT,partido~PTB,partido~PTC,partido~PV,partido~Patriota,partido~Podemos,partido~Rede,partido~Sem_Partido,partido~Solidariedade,tipoProposicao~DCR,tipoProposicao~MPV,tipoProposicao~PDC,tipoProposicao~PEC,tipoProposicao~PL,tipoProposicao~PLN,tipoProposicao~PLP,tipoProposicao~PRC,tipoProposicao~REC,tipoProposicao~REQ
8615,0,29,9,25,27,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,16,1,29,11,0,4,0,0,2
8616,0,28,86,4,28,39,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,50,0,26,29,0,10,1,0,2
8617,0,44,16,81,41,47,0,53,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,39,31,0,9,1,0,3
8618,0,28,78,15,28,43,0,50,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,28,31,0,8,1,0,1
8619,0,38,80,20,38,46,0,54,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,39,30,0,9,1,0,2
8620,2,37,49,11,37,26,0,36,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,36,19,0,6,1,0,3
8621,0,34,63,3,34,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,36,15,0,4,1,0,3
8622,0,34,56,15,34,30,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,34,14,0,10,1,0,2
8623,0,41,42,60,40,46,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,56,2,38,32,0,11,1,0,3
8624,0,33,88,5,33,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,53,1,32,28,0,8,1,0,3
8625,0,37,87,8,37,41,0,54,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,35,30,0,7,1,0,3
8627,1,39,41,45,39,40,0,47,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,37,26,0,5,1,0,3
8628,0,24,24,24,22,20,0,30,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,18,10,0,10,0,0,2
8630,1,40,50,47,40,45,0,53,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,39,30,0,11,1,0,3
8631,0,35,27,67,35,43,0,51,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,36,29,0,7,0,0,2
8632,0,27,14,49,27,24,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,40,1,27,12,0,7,1,0,2
8633,1,44,19,79,42,46,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,56,1,40,32,0,10,1,0,3
8637,0,37,46,27,36,32,0,42,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,38,17,0,6,0,0,2
8638,0,33,50,27,32,37,0,41,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,28,22,0,4,1,0,2
8639,0,39,84,6,39,44,0,46,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,35,29,0,7,0,0,3
